Station,DBKEY,Date,Value,Revision Date
G-3356,5789,23-Oct-85,2.46,18-Feb-03
G-3356,5789,24-Oct-85,2.47,18-Feb-03
G-3356,5789,25-Oct-85,2.41,18-Feb-03
G-3356,5789,26-Oct-85,2.37,18-Feb-03
G-3356,5789,27-Oct-85,2.63,18-Feb-03
G-3356,5789,28-Oct-85,2.54,18-Feb-03
G-3356,5789,29-Oct-85,2.46,18-Feb-03
G-3356,5789,30-Oct-85,2.42,18-Feb-03
G-3356,5789,31-Oct-85,2.37,18-Feb-03
G-3356,5789,1-Nov-85,2.33,18-Feb-03
G-3356,5789,2-Nov-85,2.3,18-Feb-03
G-3356,5789,3-Nov-85,2.27,18-Feb-03
G-3356,5789,4-Nov-85,2.44,18-Feb-03
G-3356,5789,5-Nov-85,2.28,18-Feb-03
G-3356,5789,6-Nov-85,2.22,18-Feb-03
G-3356,5789,7-Nov-85,2.18,18-Feb-03
G-3356,5789,8-Nov-85,2.14,18-Feb-03
G-3356,5789,9-Nov-85,2.11,18-Feb-03
G-3356,5789,10-Nov-85,2.09,18-Feb-03
G-3356,5789,11-Nov-85,2.07,18-Feb-03
G-3356,5789,12-Nov-85,2.06,18-Feb-03
G-3356,5789,13-Nov-85,2.03,18-Feb-03
G-3356,5789,14-Nov-85,2.01,18-Feb-03
G-3356,5789,15-Nov-85,2.03,18-Feb-03
G-3356,5789,16-Nov-85,2.19,18-Feb-03
G-3356,5789,17-Nov-85,2.05,18-Feb-03
G-3356,5789,18-Nov-85,2.01,18-Feb-03
G-3356,5789,19-Nov-85,2.36,18-Feb-03
G-3356,5789,20-Nov-85,2.37,18-Feb-03
G-3356,5789,21-Nov-85,2.21,18-Feb-03
G-3356,5789,22-Nov-85,2.15,18-Feb-03
G-3356,5789,23-Nov-85,2.13,18-Feb-03
G-3356,5789,24-Nov-85,2.1,18-Feb-03
G-3356,5789,25-Nov-85,2.08,18-Feb-03
G-3356,5789,26-Nov-85,2.04,18-Feb-03
G-3356,5789,27-Nov-85,1.94,18-Feb-03
G-3356,5789,28-Nov-85,1.94,18-Feb-03
G-3356,5789,29-Nov-85,1.91,18-Feb-03
G-3356,5789,30-Nov-85,1.89,18-Feb-03
G-3356,5789,1-Dec-85,1.86,18-Feb-03
G-3356,5789,2-Dec-85,1.84,18-Feb-03
G-3356,5789,3-Dec-85,1.84,18-Feb-03
G-3356,5789,4-Dec-85,2.17,18-Feb-03
G-3356,5789,5-Dec-85,2.35,18-Feb-03
G-3356,5789,6-Dec-85,2.27,18-Feb-03
G-3356,5789,7-Dec-85,2.15,18-Feb-03
G-3356,5789,8-Dec-85,2.09,18-Feb-03
G-3356,5789,9-Dec-85,2.07,18-Feb-03
G-3356,5789,10-Dec-85,2.01,18-Feb-03
G-3356,5789,11-Dec-85,1.97,18-Feb-03
G-3356,5789,12-Dec-85,1.93,18-Feb-03
G-3356,5789,13-Dec-85,1.9,18-Feb-03
G-3356,5789,14-Dec-85,1.91,18-Feb-03
G-3356,5789,15-Dec-85,1.86,18-Feb-03
G-3356,5789,16-Dec-85,1.91,18-Feb-03
G-3356,5789,17-Dec-85,2.03,18-Feb-03
G-3356,5789,18-Dec-85,1.93,18-Feb-03
G-3356,5789,19-Dec-85,1.88,18-Feb-03
G-3356,5789,20-Dec-85,1.84,18-Feb-03
G-3356,5789,21-Dec-85,1.81,18-Feb-03
G-3356,5789,22-Dec-85,1.8,18-Feb-03
G-3356,5789,23-Dec-85,1.81,18-Feb-03
G-3356,5789,24-Dec-85,2.07,18-Feb-03
G-3356,5789,25-Dec-85,2.03,18-Feb-03
G-3356,5789,26-Dec-85,1.87,18-Feb-03
G-3356,5789,27-Dec-85,1.82,18-Feb-03
G-3356,5789,28-Dec-85,2.1,18-Feb-03
G-3356,5789,29-Dec-85,1.99,18-Feb-03
G-3356,5789,30-Dec-85,1.89,18-Feb-03
G-3356,5789,31-Dec-85,1.85,18-Feb-03
G-3356,5789,1-Jan-86,1.83,18-Feb-03
G-3356,5789,2-Jan-86,1.8,18-Feb-03
G-3356,5789,3-Jan-86,1.78,18-Feb-03
G-3356,5789,4-Jan-86,1.77,18-Feb-03
G-3356,5789,5-Jan-86,1.77,18-Feb-03
G-3356,5789,6-Jan-86,1.8,18-Feb-03
G-3356,5789,7-Jan-86,1.82,18-Feb-03
G-3356,5789,8-Jan-86,1.96,18-Feb-03
G-3356,5789,9-Jan-86,2.37,18-Feb-03
G-3356,5789,10-Jan-86,2.36,18-Feb-03
G-3356,5789,11-Jan-86,2.28,18-Feb-03
G-3356,5789,12-Jan-86,2.26,18-Feb-03
G-3356,5789,13-Jan-86,2.26,18-Feb-03
G-3356,5789,14-Jan-86,2.17,18-Feb-03
G-3356,5789,15-Jan-86,2.11,18-Feb-03
G-3356,5789,16-Jan-86,2.07,18-Feb-03
G-3356,5789,17-Jan-86,2.02,18-Feb-03
G-3356,5789,18-Jan-86,1.99,18-Feb-03
G-3356,5789,19-Jan-86,1.99,18-Feb-03
G-3356,5789,20-Jan-86,1.95,18-Feb-03
G-3356,5789,21-Jan-86,1.9,18-Feb-03
G-3356,5789,22-Jan-86,1.87,18-Feb-03
G-3356,5789,23-Jan-86,1.84,18-Feb-03
G-3356,5789,24-Jan-86,1.82,18-Feb-03
G-3356,5789,25-Jan-86,1.8,18-Feb-03
G-3356,5789,26-Jan-86,1.78,18-Feb-03
G-3356,5789,27-Jan-86,1.75,18-Feb-03
G-3356,5789,28-Jan-86,1.77,18-Feb-03
G-3356,5789,29-Jan-86,1.78,18-Feb-03
G-3356,5789,30-Jan-86,1.8,18-Feb-03
G-3356,5789,31-Jan-86,1.72,18-Feb-03
G-3356,5789,1-Feb-86,1.7,18-Feb-03
G-3356,5789,2-Feb-86,1.67,18-Feb-03
G-3356,5789,3-Feb-86,1.66,18-Feb-03
G-3356,5789,4-Feb-86,1.64,18-Feb-03
G-3356,5789,5-Feb-86,1.62,18-Feb-03
G-3356,5789,6-Feb-86,1.6,18-Feb-03
G-3356,5789,7-Feb-86,1.59,18-Feb-03
G-3356,5789,8-Feb-86,1.58,18-Feb-03
G-3356,5789,9-Feb-86,1.56,18-Feb-03
G-3356,5789,10-Feb-86,1.55,18-Feb-03
G-3356,5789,11-Feb-86,2.04,18-Feb-03
G-3356,5789,12-Feb-86,2.09,18-Feb-03
G-3356,5789,13-Feb-86,1.89,18-Feb-03
G-3356,5789,14-Feb-86,1.76,18-Feb-03
G-3356,5789,15-Feb-86,1.69,18-Feb-03
G-3356,5789,16-Feb-86,1.62,18-Feb-03
G-3356,5789,17-Feb-86,1.6,18-Feb-03
G-3356,5789,18-Feb-86,2.05,18-Feb-03
G-3356,5789,19-Feb-86,1.98,18-Feb-03
G-3356,5789,20-Feb-86,1.86,18-Feb-03
G-3356,5789,21-Feb-86,1.81,18-Feb-03
G-3356,5789,22-Feb-86,1.78,18-Feb-03
G-3356,5789,23-Feb-86,1.76,18-Feb-03
G-3356,5789,24-Feb-86,1.74,18-Feb-03
G-3356,5789,25-Feb-86,1.72,18-Feb-03
G-3356,5789,26-Feb-86,1.67,18-Feb-03
G-3356,5789,27-Feb-86,1.67,18-Feb-03
G-3356,5789,28-Feb-86,1.66,18-Feb-03
G-3356,5789,1-Mar-86,1.74,18-Feb-03
G-3356,5789,2-Mar-86,1.65,18-Feb-03
G-3356,5789,3-Mar-86,1.63,18-Feb-03
G-3356,5789,4-Mar-86,1.61,18-Feb-03
G-3356,5789,5-Mar-86,1.64,18-Feb-03
G-3356,5789,6-Mar-86,1.6,18-Feb-03
G-3356,5789,7-Mar-86,1.57,18-Feb-03
G-3356,5789,8-Mar-86,1.55,18-Feb-03
G-3356,5789,9-Mar-86,1.53,18-Feb-03
G-3356,5789,10-Mar-86,1.9,18-Feb-03
G-3356,5789,11-Mar-86,1.84,18-Feb-03
G-3356,5789,12-Mar-86,1.77,18-Feb-03
G-3356,5789,13-Mar-86,1.75,18-Feb-03
G-3356,5789,14-Mar-86,1.69,18-Feb-03
G-3356,5789,15-Mar-86,1.82,18-Feb-03
G-3356,5789,16-Mar-86,1.99,18-Feb-03
G-3356,5789,17-Mar-86,1.9,18-Feb-03
G-3356,5789,18-Mar-86,1.86,18-Feb-03
G-3356,5789,19-Mar-86,1.8,18-Feb-03
G-3356,5789,20-Mar-86,1.76,18-Feb-03
G-3356,5789,21-Mar-86,2.19,18-Feb-03
G-3356,5789,22-Mar-86,1.94,18-Feb-03
G-3356,5789,23-Mar-86,1.78,18-Feb-03
G-3356,5789,24-Mar-86,1.71,18-Feb-03
G-3356,5789,25-Mar-86,2.08,18-Feb-03
G-3356,5789,26-Mar-86,2.49,18-Feb-03
G-3356,5789,27-Mar-86,2.35,18-Feb-03
G-3356,5789,28-Mar-86,2.2,18-Feb-03
G-3356,5789,29-Mar-86,2.11,18-Feb-03
G-3356,5789,30-Mar-86,2.06,18-Feb-03
G-3356,5789,31-Mar-86,2.01,18-Feb-03
G-3356,5789,1-Apr-86,1.95,18-Feb-03
G-3356,5789,2-Apr-86,1.9,18-Feb-03
G-3356,5789,3-Apr-86,1.84,18-Feb-03
G-3356,5789,4-Apr-86,1.82,18-Feb-03
G-3356,5789,5-Apr-86,1.79,18-Feb-03
G-3356,5789,6-Apr-86,1.77,18-Feb-03
G-3356,5789,7-Apr-86,1.74,18-Feb-03
G-3356,5789,8-Apr-86,1.72,18-Feb-03
G-3356,5789,9-Apr-86,1.71,18-Feb-03
G-3356,5789,10-Apr-86,1.68,18-Feb-03
G-3356,5789,11-Apr-86,1.66,18-Feb-03
G-3356,5789,12-Apr-86,1.66,18-Feb-03
G-3356,5789,13-Apr-86,2.55,18-Feb-03
G-3356,5789,14-Apr-86,2.2,18-Feb-03
G-3356,5789,15-Apr-86,2.07,18-Feb-03
