 Station   DBKEY   Date   Value   Qualifer   RevisionDate   
G-580A   LP651   01-JUN-1985   2.15  Y  12-DEC-2002   
G-580A   LP651   02-JUN-1985   2.12  Y  12-DEC-2002   
G-580A   LP651   03-JUN-1985   2.10  Y  12-DEC-2002   
G-580A   LP651   04-JUN-1985   2.07  Y  12-DEC-2002   
G-580A   LP651   05-JUN-1985   2.05  Y  12-DEC-2002   
G-580A   LP651   06-JUN-1985   2.02  Y  12-DEC-2002   
G-580A   LP651   07-JUN-1985   1.98  Y  12-DEC-2002   
G-580A   LP651   08-JUN-1985   1.93  Y  12-DEC-2002   
G-580A   LP651   09-JUN-1985   1.88  Y  12-DEC-2002   
G-580A   LP651   10-JUN-1985   1.85  Y  12-DEC-2002   
G-580A   LP651   11-JUN-1985   1.84  Y  12-DEC-2002   
G-580A   LP651   12-JUN-1985   1.82  Y  12-DEC-2002   
G-580A   LP651   13-JUN-1985   1.82  Y  12-DEC-2002   
G-580A   LP651   14-JUN-1985   1.82  Y  12-DEC-2002   
G-580A   LP651   15-JUN-1985   1.82  Y  12-DEC-2002   
G-580A   LP651   16-JUN-1985   1.82  Y  12-DEC-2002   
G-580A   LP651   17-JUN-1985   1.81  Y  12-DEC-2002   
G-580A   LP651   18-JUN-1985   1.78  Y  12-DEC-2002   
G-580A   LP651   19-JUN-1985   1.74  Y  12-DEC-2002   
G-580A   LP651   20-JUN-1985   1.70  Y  12-DEC-2002   
G-580A   LP651   21-JUN-1985   1.65  Y  12-DEC-2002   
G-580A   LP651   22-JUN-1985   1.74  Y  12-DEC-2002   
G-580A   LP651   23-JUN-1985   1.82  Y  12-DEC-2002   
G-580A   LP651   24-JUN-1985   1.88  Y  12-DEC-2002   
G-580A   LP651   25-JUN-1985   2.17  Y  12-DEC-2002   
G-580A   LP651   26-JUN-1985   2.40  Y  12-DEC-2002   
G-580A   LP651   27-JUN-1985   2.52  Y  12-DEC-2002   
G-580A   LP651   28-JUN-1985   2.55  Y  12-DEC-2002   
G-580A   LP651   29-JUN-1985   2.57  Y  12-DEC-2002   
G-580A   LP651   30-JUN-1985   2.58  Y  12-DEC-2002   
G-580A   LP651   01-JUL-1985   2.63  Y  12-DEC-2002   
G-580A   LP651   02-JUL-1985   2.66  Y  12-DEC-2002   
G-580A   LP651   03-JUL-1985   2.72  Y  12-DEC-2002   
G-580A   LP651   04-JUL-1985   2.76  Y  12-DEC-2002   
G-580A   LP651   05-JUL-1985   2.77  Y  12-DEC-2002   
G-580A   LP651   06-JUL-1985   2.78  Y  12-DEC-2002   
G-580A   LP651   07-JUL-1985   2.78  Y  12-DEC-2002   
G-580A   LP651   08-JUL-1985   2.77  Y  12-DEC-2002   
G-580A   LP651   09-JUL-1985   2.75  Y  12-DEC-2002   
G-580A   LP651   10-JUL-1985   2.72  Y  12-DEC-2002   
G-580A   LP651   11-JUL-1985   2.72  Y  12-DEC-2002   
G-580A   LP651   12-JUL-1985   2.76  Y  12-DEC-2002   
G-580A   LP651   13-JUL-1985   2.99  Y  12-DEC-2002   
G-580A   LP651   14-JUL-1985   3.16  Y  12-DEC-2002   
G-580A   LP651   15-JUL-1985   3.21  Y  12-DEC-2002   
G-580A   LP651   16-JUL-1985   3.22  Y  12-DEC-2002   
G-580A   LP651   17-JUL-1985   3.22  Y  12-DEC-2002   
G-580A   LP651   18-JUL-1985   3.25  Y  12-DEC-2002   
G-580A   LP651   19-JUL-1985   3.31  Y  12-DEC-2002   
G-580A   LP651   20-JUL-1985   3.32  Y  12-DEC-2002   
G-580A   LP651   21-JUL-1985   3.19  Y  12-DEC-2002   
G-580A   LP651   22-JUL-1985   3.22  Y  12-DEC-2002   
G-580A   LP651   23-JUL-1985   3.77  Y  12-DEC-2002   
G-580A   LP651   24-JUL-1985   3.80  Y  12-DEC-2002   
G-580A   LP651   25-JUL-1985   3.72  Y  12-DEC-2002   
G-580A   LP651   26-JUL-1985   3.59  Y  12-DEC-2002   
G-580A   LP651   27-JUL-1985   3.23  Y  12-DEC-2002   
G-580A   LP651   28-JUL-1985   3.11  Y  12-DEC-2002   
G-580A   LP651   29-JUL-1985   3.08  Y  12-DEC-2002   
G-580A   LP651   30-JUL-1985   3.05  Y  12-DEC-2002   
G-580A   LP651   31-JUL-1985   3.03  Y  12-DEC-2002   
G-580A   LP651   01-AUG-1985   3.00  Y  12-DEC-2002   
