Station,DBKEY,Date,Value,Qualifer,Revision Date
G-860,1056,1-Oct-73,3.1,,3-Dec-02
G-860,1056,2-Oct-73,3,,3-Dec-02
G-860,1056,3-Oct-73,2.91,,3-Dec-02
G-860,1056,4-Oct-73,2.89,,3-Dec-02
G-860,1056,5-Oct-73,2.94,,3-Dec-02
G-860,1056,6-Oct-73,2.93,,3-Dec-02
G-860,1056,7-Oct-73,2.9,,3-Dec-02
G-860,1056,8-Oct-73,3,,3-Dec-02
G-860,1056,9-Oct-73,2.99,,3-Dec-02
G-860,1056,10-Oct-73,3.01,,3-Dec-02
G-860,1056,11-Oct-73,2.99,,3-Dec-02
G-860,1056,12-Oct-73,2.93,,3-Dec-02
G-860,1056,13-Oct-73,2.91,,3-Dec-02
G-860,1056,14-Oct-73,2.88,,3-Dec-02
G-860,1056,15-Oct-73,2.86,,3-Dec-02
G-860,1056,16-Oct-73,2.81,,3-Dec-02
G-860,1056,17-Oct-73,2.76,,3-Dec-02
G-860,1056,18-Oct-73,2.72,,3-Dec-02
G-860,1056,19-Oct-73,2.74,,3-Dec-02
G-860,1056,20-Oct-73,2.74,,3-Dec-02
G-860,1056,21-Oct-73,2.72,,3-Dec-02
G-860,1056,22-Oct-73,2.69,,3-Dec-02
G-860,1056,23-Oct-73,2.67,,3-Dec-02
G-860,1056,24-Oct-73,2.64,,3-Dec-02
G-860,1056,25-Oct-73,2.6,,3-Dec-02
G-860,1056,26-Oct-73,2.55,,3-Dec-02
G-860,1056,27-Oct-73,2.51,,3-Dec-02
G-860,1056,28-Oct-73,2.49,,3-Dec-02
G-860,1056,29-Oct-73,2.61,,3-Dec-02
G-860,1056,30-Oct-73,2.57,,3-Dec-02
G-860,1056,31-Oct-73,2.51,,3-Dec-02
G-860,1056,1-Nov-73,2.59,,3-Dec-02
G-860,1056,2-Nov-73,2.44,,3-Dec-02
G-860,1056,3-Nov-73,2.44,,3-Dec-02
G-860,1056,4-Nov-73,2.43,,3-Dec-02
G-860,1056,5-Nov-73,2.4,,3-Dec-02
G-860,1056,6-Nov-73,2.37,,3-Dec-02
G-860,1056,7-Nov-73,2.34,,3-Dec-02
G-860,1056,8-Nov-73,2.3,,3-Dec-02
G-860,1056,9-Nov-73,2.26,,3-Dec-02
G-860,1056,10-Nov-73,2.23,,3-Dec-02
G-860,1056,11-Nov-73,2.21,,3-Dec-02
G-860,1056,12-Nov-73,2.19,,3-Dec-02
G-860,1056,13-Nov-73,2.15,,3-Dec-02
G-860,1056,14-Nov-73,2.13,,3-Dec-02
G-860,1056,15-Nov-73,2.09,,3-Dec-02
G-860,1056,16-Nov-73,2.07,,3-Dec-02
G-860,1056,17-Nov-73,2.07,,3-Dec-02
G-860,1056,18-Nov-73,2.07,,3-Dec-02
G-860,1056,19-Nov-73,2.04,,3-Dec-02
G-860,1056,20-Nov-73,2.01,,3-Dec-02
G-860,1056,21-Nov-73,1.99,,3-Dec-02
G-860,1056,22-Nov-73,1.94,,3-Dec-02
G-860,1056,23-Nov-73,1.93,,3-Dec-02
G-860,1056,24-Nov-73,1.88,,3-Dec-02
G-860,1056,25-Nov-73,1.86,,3-Dec-02
G-860,1056,26-Nov-73,1.85,,3-Dec-02
G-860,1056,27-Nov-73,1.84,,3-Dec-02
G-860,1056,28-Nov-73,1.8,,3-Dec-02
G-860,1056,29-Nov-73,1.81,,3-Dec-02
G-860,1056,30-Nov-73,1.78,,3-Dec-02
