psmsl_id,process,Units,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
1107,total,mm,Low,17,80.19936,117.19936,165.19936,206.19936,244.19936,281.19937,306.19937,329.19937,355.19937,383.19937,410.19937,434.19937,457.19937,481.19937
1107,total,mm,Low,50,101.19936,154.19936,210.19936,263.19937,307.19937,348.19937,380.19937,407.19937,447.19937,486.19937,523.19934,558.19934,591.19934,625.19934
1107,total,mm,Low,83,124.19936,195.19936,260.19937,322.19937,379.19937,421.19937,461.19937,501.19937,559.19934,612.19934,665.19934,715.19934,766.19934,817.19934
1107,total,mm,IntLow,17,87.19936,133.19936,187.19936,241.19936,302.19937,365.19937,426.19937,487.19937,545.19934,606.19934,669.19934,726.19934,785.19934,841.19934
1107,total,mm,IntLow,50,109.19936,171.19936,238.19936,306.19937,373.19937,440.19937,509.19937,574.19934,642.19934,718.19934,792.19934,871.19934,950.19934,1026.1993
1107,total,mm,IntLow,83,133.19936,211.19936,291.19937,372.19937,447.19937,522.19934,604.19934,679.19934,763.19934,853.19934,948.19934,1046.1993,1156.1993,1267.1993
1107,total,mm,Int,17,92.19936,143.19936,201.19936,274.19937,360.19937,462.19937,585.19934,749.19934,914.19934,1062.1993,1197.1993,1325.1993,1446.1993,1558.1993
1107,total,mm,Int,50,112.19936,178.19936,255.19936,344.19937,446.19937,569.19934,717.19934,903.19934,1118.1993,1342.1993,1549.1993,1732.1993,1908.1993,2089.1995
1107,total,mm,Int,83,132.19936,218.19936,319.19937,431.19937,550.19934,694.19934,858.19934,1042.1993,1278.1993,1590.1993,2008.1993,2552.1995,3209.1995,3997.1995
1107,total,mm,IntHigh,17,91.19936,142.19936,214.19936,310.19937,440.19937,593.19934,782.19934,999.19934,1215.1993,1430.1993,1619.1993,1760.1993,1929.1993,2046.1993
1107,total,mm,IntHigh,50,113.19936,190.19936,284.19937,412.19937,574.19934,788.19934,1029.1993,1304.1993,1606.1993,1872.1993,2104.1995,2297.1995,2505.1995,2682.1995
1107,total,mm,IntHigh,83,134.19936,239.19936,381.19937,559.19934,748.19934,972.19934,1238.1993,1507.1993,1793.1993,2151.1995,2567.1995,2968.1995,3388.1995,3769.1995
1107,total,mm,High,17,93.19936,144.19936,223.19936,345.19937,535.19934,756.19934,1053.1993,1441.1993,1862.1993,2163.1995,2413.1995,2594.1995,2744.1995,2887.1995
1107,total,mm,High,50,114.19936,194.19936,308.19937,475.19937,701.19934,1000.19934,1351.1993,1732.1993,2131.1995,2554.1995,2900.1995,3195.1995,3497.1995,3753.1995
1107,total,mm,High,83,136.19936,249.19936,417.19937,632.19934,891.19934,1196.1993,1551.1993,1938.1993,2343.1995,2829.1995,3380.1995,4069.1995,4780.199,5506.199
1858,total,mm,Low,17,71.171814,112.171814,156.17181,200.17181,238.17181,275.1718,311.1718,338.1718,368.1718,399.1718,428.1718,455.1718,480.1718,506.1718
1858,total,mm,Low,50,93.171814,146.17181,199.17181,252.17181,299.1718,342.1718,380.1718,415.1718,460.1718,501.1718,542.1718,580.1718,616.1718,655.1718
1858,total,mm,Low,83,117.171814,183.17181,248.17181,310.1718,371.1718,420.1718,461.1718,509.1718,573.1718,629.1718,683.1718,737.1718,791.1718,843.1718
1858,total,mm,IntLow,17,82.171814,128.17181,181.17181,238.17181,299.1718,363.1718,431.1718,495.1718,556.1718,621.1718,687.1718,746.1718,807.1718,864.1718
1858,total,mm,IntLow,50,102.171814,164.17181,228.17181,296.1718,365.1718,436.1718,510.1718,580.1718,653.1718,732.1718,809.1718,889.1718,971.1718,1053.1719
1858,total,mm,IntLow,83,126.171814,202.17181,279.1718,356.1718,436.1718,515.1718,595.1718,677.1718,768.1718,864.1718,961.1718,1062.1719,1171.1719,1286.1719
1858,total,mm,Int,17,88.171814,137.17181,197.17181,272.1718,358.1718,460.1718,587.1718,754.1718,927.1718,1074.1719,1211.1719,1343.1719,1463.1719,1576.1719
1858,total,mm,Int,50,106.171814,171.17181,247.17181,336.1718,440.1718,564.1718,712.1718,900.1718,1124.1719,1352.1719,1553.1719,1734.1719,1911.1719,2095.1719
1858,total,mm,Int,83,125.171814,209.17181,307.1718,418.1718,542.1718,690.1718,853.1718,1037.1719,1274.1719,1589.1719,2013.1719,2557.1719,3224.1719,4009.1719
1858,total,mm,IntHigh,17,87.171814,136.17181,210.17181,306.1718,436.1718,590.1718,778.1718,1005.1718,1217.1719,1436.1719,1622.1719,1785.1719,1931.1719,2072.1719
1858,total,mm,IntHigh,50,107.171814,182.17181,274.1718,402.1718,569.1718,790.1718,1028.1719,1302.1719,1610.1719,1888.1719,2111.1719,2320.1719,2518.1719,2693.1719
1858,total,mm,IntHigh,83,127.171814,234.17181,372.1718,548.1718,742.1718,966.1718,1240.1719,1508.1719,1797.1719,2147.1719,2568.1719,2964.1719,3375.1719,3772.1719
1858,total,mm,High,17,89.171814,139.17181,218.17181,343.1718,529.1718,752.1718,1057.1719,1461.1719,1877.1719,2173.1719,2429.1719,2612.1719,2763.1719,2901.1719
1858,total,mm,High,50,108.171814,188.17181,301.1718,467.1718,693.1718,999.1718,1349.1719,1735.1719,2140.1719,2558.1719,2912.1719,3210.1719,3509.1719,3765.1719
1858,total,mm,High,83,129.17181,243.17181,407.1718,623.1718,883.1718,1191.1719,1546.1719,1938.1719,2349.1719,2832.1719,3394.1719,4084.1719,4789.172,5522.172
