Date,Value,ValueFilled,Detrend,Declustered
3/25/1969,0.56,0.56,0.974986834,0.974986834
3/26/1969,1.28,1.28,1.688247704,1.688247704
3/27/1969,1.16,1.16,1.577378139,1.577378139
3/28/1969,1.13,1.13,1.553682487,1.553682487
3/29/1969,0.98,0.98,1.403899878,1.403899878
3/30/1969,0.81,0.81,1.233247704,1.233247704
3/31/1969,1.06,1.06,1.479769443,1.479769443
4/1/1969,1.15,1.15,1.569986834,1.569986834
4/2/1969,1.12,1.12,1.539986834,1.539986834
4/3/1969,0.97,0.97,1.389769443,1.389769443
4/4/1969,0.99,0.99,1.410204226,1.410204226
4/5/1969,0.99,0.99,1.413899878,1.413899878
4/6/1969,0.84,0.84,1.267160747,1.267160747
4/7/1969,0.85,0.85,1.274769443,1.274769443
4/8/1969,1.16,1.16,1.581725965,1.581725965
4/9/1969,1.13,1.13,1.554552052,1.554552052
4/10/1969,1.23,1.23,1.656508574,1.656508574
4/11/1969,1.05,1.05,1.478899878,1.478899878
4/12/1969,1.21,1.21,1.637812921,1.637812921
4/13/1969,1.31,1.31,1.738247704,1.738247704
4/14/1969,1.25,1.25,1.680204226,1.680204226
4/15/1969,1.14,1.14,1.5708564,1.5708564
4/16/1969,1.004,1.004,1.435030313,1.435030313
4/17/1969,0.87,0.87,1.2978564,1.2978564
4/18/1969,0.8,0.8,1.219378139,1.219378139
4/19/1969,0.5,0.5,0.908943356,0.908943356
4/20/1969,0.48,0.48,0.873291182,0.873291182
4/21/1969,0.42,0.42,0.795247704,0.795247704
4/22/1969,0.55,0.55,0.898725965,0.898725965
4/23/1969,0.62,0.62,0.945986834,0.945986834
4/24/1969,0.49,0.49,0.799247704,0.799247704
4/25/1969,0.87,0.87,1.159682487,1.159682487
4/26/1969,1.05,1.05,1.320769443,1.320769443
4/27/1969,1.11,1.11,1.37359553,1.37359553
4/28/1969,1.34,1.34,1.596204226,1.596204226
4/29/1969,1.253,1.253,1.493986834,1.493986834
4/30/1969,1.12,1.12,1.3423564,1.3423564
5/1/1969,1.09,1.09,1.290399878,1.290399878
5/2/1969,1.19,1.19,1.367791182,1.367791182
5/3/1969,1.24,1.24,1.3973564,1.3973564
5/4/1969,1.16,1.16,1.298878139,1.298878139
5/5/1969,1.17,1.17,1.290617269,1.290617269
5/6/1969,1.1,1.1,1.201269443,1.201269443
5/7/1969,0.94,0.94,1.020399878,1.020399878
5/8/1969,0.85,0.85,0.906269443,0.906269443
5/9/1969,0.76,0.76,0.978648325,0.978648325
5/10/1969,0.87,0.87,1.07403294,1.07403294
5/11/1969,0.86,0.86,1.057219754,1.057219754
5/12/1969,0.87,0.87,1.059197776,1.059197776
5/13/1969,1.12,1.12,1.301945028,1.301945028
5/14/1969,1.01,1.01,1.1833736,1.1833736
5/15/1969,0.97,0.97,1.132384589,1.132384589
