"","Date","ValueFilled","Detrend"
"1","1985-11-01",2.302,2.7303013136289
"2","1985-11-02",2.142,2.5853013136289
"3","1985-11-03",1.942,2.39943174841151
"4","1985-11-04",1.712,2.1803013136289
"5","1985-11-05",1.432,1.90899696580281
"6","1985-11-06",1.582,2.06356218319412
"7","1985-11-07",1.752,2.23921435710716
"8","1985-11-08",1.952,2.44682305275933
"9","1985-11-09",2.152,2.65377957449846
"10","1985-11-10",2.242,2.75964913971586
"11","1985-11-11",2.282,2.82856218319412
"12","1985-11-12",2.172,2.74204044406368
"13","1985-11-13",2.212,2.79921435710716
"14","1985-11-14",2.122,2.73008392232455
"15","1985-11-15",2.032,2.65551870493325
"16","1985-11-16",1.792,2.42791000928107
"17","1985-11-17",1.662,2.30595348754194
"18","1985-11-18",2.022,2.67204044406368
"19","1985-11-19",2.502,3.16595348754194
"20","1985-11-20",1.912,2.59812740058542
"21","1985-11-21",1.612,2.30791000928107
"22","1985-11-22",1.572,2.26791000928107
"23","1985-11-23",1.612,2.30704044406368
"24","1985-11-24",1.772,2.45899696580281
"25","1985-11-25",1.862,2.53660566145499
"26","1985-11-26",1.872,2.5407360962376
"27","1985-11-27",1.842,2.5048665310202
"28","1985-11-28",1.842,2.49508392232455
"29","1985-11-29",1.572,2.21812740058542
"30","1985-11-30",1.352,1.98704044406368
"31","1985-12-01",1.432,2.06088827015064
"32","1985-12-02",1.312,1.94082305275933
"33","1985-12-03",1.422,2.04858392232455
"34","1985-12-04",1.362,1.99395348754194
"35","1985-12-05",1.562,2.20106218319412
"36","1985-12-06",1.492,2.14512740058542
"37","1985-12-07",1.802,2.47375783536803
"38","1985-12-08",1.922,2.61521435710716
"39","1985-12-09",2.042,2.75558392232455
"40","1985-12-10",2.272,3.00204044406368
"41","1985-12-11",2.372,3.12067087884629
"42","1985-12-12",2.142,2.90691000928107
"43","1985-12-13",2.012,2.78662740058542
"44","1985-12-14",2.057,2.84482305275933
"45","1985-12-15",1.752,2.55160566145499
"46","1985-12-16",1.752,2.36974636857395
"47","1985-12-17",1.612,2.24092219274978
"48","1985-12-18",1.492,2.13015296198055
"49","1985-12-19",1.442,2.08828483011242
"50","1985-12-20",1.312,1.96564746747505
"51","1985-12-21",1.222,1.87872439055198
"52","1985-12-22",1.322,1.98311999494758
"53","1985-12-23",1.402,2.0685046103322
"54","1985-12-24",1.632,2.30685625868384
"55","1985-12-25",1.422,2.1050980169256
"56","1985-12-26",0.912,1.60377933560692
"57","1985-12-27",1.202,1.90125186307945
"58","1985-12-28",1.382,2.08773537956297
"59","1985-12-29",1.252,1.96729581912341
"60","1985-12-30",1.412,2.13729581912341
"61","1985-12-31",1.462,2.1939991158267
"62","1986-01-01",1.422,2.16059252242011
"63","1986-01-02",1.382,2.1239991158267
"64","1986-01-03",1.382,2.13213098395857
"65","1986-01-04",1.482,2.24696614879374
"66","1986-01-05",1.462,2.23311999494758
"67","1986-01-06",1.612,2.38487823670582
"68","1986-01-07",1.612,2.38344966527725
"69","1986-01-08",1.982,2.75037274220033
"70","1986-01-09",2.342,3.10828483011242
"71","1986-01-10",2.132,2.89597713780472
"72","1986-01-11",2.142,2.90333977516736
"73","1986-01-12",2.292,3.04927384110143
"74","1986-01-13",2.162,2.9174057092333
"75","1986-01-14",2.082,2.83268043450802
"76","1986-01-15",1.635,2.37897713780472
"77","1986-01-16",1.435,2.17941669824428
"78","1986-01-17",1.415,2.16084526967286
"79","1986-01-18",1.175,1.92425186307945
"80","1986-01-19",1.035,1.78655955538714
"81","1986-01-20",0.915,1.67117494000253
"82","1986-01-21",0.635,1.39381230263989
"83","1986-01-22",0.815,1.57952658835417
"84","1986-01-23",0.985,1.75326285209044
"85","1986-01-24",1.285,2.05853757736516
"86","1986-01-25",1.415,2.19941669824428
"87","1986-01-26",1.625,2.42051559934319
"88","1986-01-27",1.695,2.50086724769483
"89","1986-01-28",1.405,2.21976834659593
"90","1986-01-29",1.515,2.34158153340912
"91","1986-01-30",1.485,2.31927384110143
"92","1986-01-31",1.285,2.1272958191234
"93","1986-02-01",1.302,2.15264746747505
"94","1986-02-02",1.202,2.05869142351901
"95","1986-02-03",1.042,1.90583428066187
"96","1986-02-04",1.152,2.02088922571681
"97","1986-02-05",1.182,2.04913098395857
"98","1986-02-06",1.262,2.12330680813439
"99","1986-02-07",1.192,2.04385625868384
"100","1986-02-08",1.402,2.24143867626626
"101","1986-02-09",1.452,2.27858153340912
"102","1986-02-10",1.602,2.40946065428824
