Year,Low,Int,High
1992,0,0,0
1993,0,0,0
1994,0.01,0.01,0.01
1995,0.01,0.01,0.01
1996,0.01,0.01,0.01
1997,0.01,0.01,0.02
1998,0.01,0.02,0.02
1999,0.02,0.02,0.02
2000,0.02,0.02,0.03
2001,0.02,0.02,0.03
2002,0.02,0.03,0.04
2003,0.03,0.03,0.04
2004,0.03,0.03,0.05
2005,0.03,0.04,0.05
2006,0.03,0.04,0.06
2007,0.04,0.04,0.06
2008,0.04,0.05,0.07
2009,0.04,0.05,0.07
2010,0.04,0.05,0.08
2011,0.05,0.06,0.09
2012,0.05,0.06,0.09
2013,0.05,0.06,0.1
2014,0.05,0.07,0.11
2015,0.06,0.07,0.12
2016,0.06,0.07,0.12
2017,0.06,0.08,0.13
2018,0.06,0.08,0.14
2019,0.07,0.08,0.15
2020,0.07,0.09,0.16
2021,0.07,0.09,0.16
2022,0.07,0.1,0.17
2023,0.07,0.1,0.18
2024,0.08,0.1,0.19
2025,0.08,0.11,0.2
2026,0.08,0.11,0.21
2027,0.08,0.12,0.22
2028,0.09,0.12,0.23
2029,0.09,0.13,0.24
2030,0.09,0.13,0.25
2031,0.09,0.13,0.27
2032,0.1,0.14,0.28
2033,0.1,0.14,0.29
2034,0.1,0.15,0.3
2035,0.1,0.15,0.31
2036,0.11,0.16,0.32
2037,0.11,0.16,0.34
2038,0.11,0.17,0.35
2039,0.11,0.17,0.36
2040,0.12,0.18,0.38
2041,0.12,0.18,0.39
2042,0.12,0.19,0.4
2043,0.12,0.19,0.42
2044,0.12,0.2,0.43
2045,0.13,0.2,0.44
2046,0.13,0.21,0.46
2047,0.13,0.21,0.47
2048,0.13,0.22,0.49
2049,0.14,0.22,0.5
2050,0.14,0.23,0.52
2051,0.14,0.24,0.53
2052,0.14,0.24,0.55
2053,0.15,0.25,0.57
2054,0.15,0.25,0.58
2055,0.15,0.26,0.6
2056,0.15,0.26,0.62
2057,0.16,0.27,0.63
2058,0.16,0.28,0.65
2059,0.16,0.28,0.67
2060,0.16,0.29,0.69
2061,0.17,0.29,0.7
2062,0.17,0.3,0.72
2063,0.17,0.31,0.74
2064,0.17,0.31,0.76
2065,0.17,0.32,0.78
2066,0.18,0.33,0.8
2067,0.18,0.33,0.82
2068,0.18,0.34,0.83
2069,0.18,0.35,0.85
2070,0.19,0.35,0.87
2071,0.19,0.36,0.89
2072,0.19,0.37,0.91
2073,0.19,0.37,0.94
2074,0.2,0.38,0.96
2075,0.2,0.39,0.98
2076,0.2,0.39,1
2077,0.2,0.4,1.02
2078,0.21,0.41,1.04
2079,0.21,0.41,1.06
2080,0.21,0.42,1.09
2081,0.21,0.43,1.11
2082,0.22,0.44,1.13
2083,0.22,0.44,1.15
2084,0.22,0.45,1.18
2085,0.22,0.46,1.2
2086,0.23,0.46,1.22
2087,0.23,0.47,1.25
2088,0.23,0.48,1.27
2089,0.23,0.49,1.3
2090,0.23,0.49,1.32
2091,0.24,0.5,1.34
2092,0.24,0.51,1.37
2093,0.24,0.52,1.39
2094,0.24,0.53,1.42
2095,0.25,0.53,1.45
2096,0.25,0.54,1.47
2097,0.25,0.55,1.5
2098,0.25,0.56,1.52
2099,0.26,0.57,1.55
2100,0.26,0.57,1.58
